 SL NO.,Comment,Emotion
53,"এসব ঢং বন্ধ করেন,অযথা মোমবাতি গুলো অপচয় করতেছেন কেন!",Negative
54,দিহানেরা কাউকে রেহাই দেবেনা।আনুশকাদেরই সাবধান হতে হবে।,Negative
55,গ্রুপ স্টাডি না কি গ্রুপ সেক্স?,Negative
56,"মোমবাতি নিভে যাওয়ার পর আরেকটা ঘটনা ঘটে যাবে,বেপর্দা পাপিষ্ঠ জাতির কাছে এর ছেয়ে ভালো কিছু আসা করা যায়না।",Negative
57,ধর্ষক প্রমাণিত হওয়ার পর ধর্ষকের বিচার মৃত্যুদণ্ড না হওয়া পর্যন্ত ধর্ষণ কখনো কোনোদিন থামবে না চলবেই...।,Negative
58,এতে লাভ কি??বাবা মা সামলাতে না পারলে জন্মদেয় কেন?? ছেলের বাবা মা ভাই এর ছবি কোথায় ছড়িয়ে দেওয়া হয় না কেন?? তাহলে টনক নড়বে,Negative
59,সমাজব্যবস্থায় পরিবর্তন দরকার,Negative
60,মোমবাতি জ্বালালে কি হবে???,Negative
61,তোরা আগে গ্রেফতার কর। পরে হাজারটা মামলা দিয়ে আটকানো যাবে।,Negative
62,ঘৃণিত অপরাধ ।,Negative
63,"পার্বত্য চট্টগ্রামে মুসলিম হওয়ার কারণে একজন মানুষকে ব্রাশ ফায়ার করে মারা হল,তা নিয়ে তো কোন মিডিয়া নিউজ করতে দেখলানা।",Negative
64,এভাবে অপ্রাসঙ্গিকভাবে সাম্প্রদায়িকতা টেনে আনা? চুটিয়া সংবাদ মাধ্যম ৷,Negative
65,ঘটনা মাদক এর ফেইসবক পোষ্ট নিয়া অথচ সবাই পূজা বন্ধ করে প্রতিবাদ করছে।এখানে পূজা পালনে কেও তো বাধা দেয় নি। ২ টা কি এক জিনিস হইল। বুজলাম না ব্যাপার টা।,Negative
66,তীব্র নিন্দা জানাই,Negative
67,এটার প্রভাব ভারতের বিভিন্ন রাজ্যে পরতে পারে,Negative
68,এক শ্রেনী এটা কে আবার সংখ্যালঘু নির্যাতন বলে চালাবে!!,Negative
69,এক ভাই অন্য ভাইয়ের উপর হামলা করেছে,Negative
70,প্রথম আলোর অন্যান্য জেলাপ্রতিনিধিদেরকে আরো তৎপর হতে হবে । বিশেষ কিছু জেলা আছে সেখানে স্থানীয় সাংবাদিকরা মাসোয়ারা পায় বলে স্থানীয় রাজনৈতিক দুর্বৃত্তায়নের কোন খবরই জাতি জানতে পারেনা ।,Negative
71,হায় মুজিব সন্তান।,Negative
72,সালাগো কর্মের ঠিক নাই ধর্ম নিয়া বাড়াবাড়ি।,Negative
73,বেয়াদব গুলোর জন্য ইসলামধর্ম এর ক্ষতি হচ্ছে। হাস্যকর এ পরিনত করে আমাদের কে। এদের জনগণের হাতে তুলে দিন।,Negative
74,চুরি করবে কিন্তু চোর বলা যাবে না,Negative
75,ধীমান ঘোষ নিজেও ছাত্রলীগ।অকারণে ধর্মের নাম টেনে সাম্প্রদায়িক বিভেদ ছড়াচ্ছেন কেন?,Negative
76,"আচ্ছা সংবাদীকরা....কি গাজা না খেয়ে শিরোনাম দিতে পারে না??? .....মাদক সম্পর্কে স্ট্যাটাস দেওয়াকে কেন্দ্র করে এইটা হইছে.....আর শিরোনাম এমন লেখছে যে মনেহয় পূজা উদযাপন নিয়ে স্ট্যাটাসের কারনে হামলা.......আপনারা শালা, মানুষের শুধু শিরোনাম দেখাকে পুজি করে চলেন....শিরোনাম হতে পারত ফেসবুকের মাদক স্ট্যাটাসের কারনে ধীমানের ওপর হামলা... ধীমান ..পূজা...উদযাপন কমিটির নেতা",Negative
77,"সবাই আতংকিত হবেন না,ভালোভাবে খবর নিলে বিম্পি-জামাত-হেফাজতের যোগসূত্র পাওয়া যেতে পারে, তাই সবাইকে ধৈর্য্য ধরার অনুরোধ করছি",Negative
78,এই ছাত্রলীগ নেতাকে হেফাজতের আহ্বায়ক ঘোষনা করা হউক।মামুনুল হকের জায়গা পূরনের যোগ‍্য প্রার্থী পাত্তয়া গেছে।,Negative
79,বাংলাদেশ নামক রাষ্ট্রের পূর্ব পরিকল্পিত ঘটনা ---,Negative
80,সোনার ছেলে বলে কথা!!,Negative
81,ওরা একই জাত দুঃখ্য পাওয়ার কিছু নাই,Negative
82,"এখন সবাই ই ছাত্রলীগ,সবাই ছাত্রলীগ ট্যাগ নিয়ে চলে।",Negative
83,ওরা কি আসলেই ছাত্রলীগ ? নাকি ইসকন ধর্মীয় কেও ? কারণ সাধারণ হিন্দুদের সাথে ইসকন সন্ত্রাসী হিন্দুদের ব্যাপক শত্রুতা ।,Negative
84,খুবি বাজে কাজ। মানুষের মধ্যে সম্পৃতি নষ্ট হচ্ছে।,Negative
85,ছাত্রলীগ ব্যতীত হিন্দু ভাইদের উপর কেউ আঘাত করে নাই ।,Negative
86,"ওরা তো ভাই ভাই,কোন সমস্যা নাই!",Negative
87,সোনার ছেলেদের কাজকারবার নিয়ে লিখতে লজ্জা হয়না আপনাদের।,Negative
88,"এটা কি সত্যিই ছাত্রলীগ করেছে???প্রথম আলোকে বলবো ভালো করে খবর নিন।এটা হেফাজতের কাজ নয় তো?দেখুন সুনামগঞ্জের শাল্লায় কিন্তু হিন্দু পল্লীতে আক্রমণকারী হলো ওয়ার্ড আওয়ামী লীগের সভাপতি স্বাধীন মেম্বার। তার কিছুই হয়নি। আর সরকার, পুলিশ আর মোদী বলে বেড়াচ্ছে হেফাজতে ইসলামের নাম।আমাদেরকে সঠিক তথ্যটাই দিন।",Negative
89,এখন মানববন্ধন হবে না,Negative
90,"দুই বিপরীত ধর্মের মানুষের মাঝে সম্পূর্ণ ভিন্ন একটি ঘটনা নিয়ে সংঘর্ষ হয়েছে সুতরাং দয়াকরে কেউ এরমাঝে ""ইসলাম ধর্ম"" কিংবা ""হিন্দু ধর্ম"" কে টেনে আনবেন না।।",Negative
91,এখানে পূজা পরিষদের কাজ কি? কেউ কি পূজা অর্চনায় বাধা দিয়েছে?,Negative
92,দুঃখ জনক... সঠিক বিচার হওয়া উচিত.....,Negative
93,আমি এর তিব্র নিন্দা জানাচ্ছি,Negative
94,মগের মুল্লুক,Negative
95,"কতোটা প্রতিহিংসা পরায়ন হলে এমন কাজ করতে পারে! যে দেশের শিক্ষকদের নিয়ে মানুষ হাসাহাসি করে, থুথু মারে, সে দেশের অন্যদের কি অবস্থা হবে তার প্রমাণ প্রতিদিন খবরের কাগজে বের হচ্ছে!",Negative
96,প্রতিবন্ধি কোটায় চাকরি হলেতো এমনটাই হবে। গাজাখোর হলে এমনটাও হয়,Negative
97,কার জন্য প্রযোজ্য? শিক্ষক না রেজিস্ট্রার? এর মানে যে রেজিস্ট্রার বুঝতে পারবেনা তিনি একটা গুরুত্বপূর্ণ দায়িত্বে থাকার সম্পূর্ণ অযোগ্য। এঁরা শুধু আগাছার জন্ম দিবেন। এদেরকে দ্রুত অন্যত্র সরিয়ে দেওয়া হোক।,Negative
98,একটা দেশকে ধংস করার জন্য তার শিক্ষা প্রতিষ্ঠান গুলিকে আগে ধংস করতে হয়। তারি ষোল কলা পূরন হতে আর বাকি নাই।,Negative
99,পাবলিক বিশ্ববিদ্যালয় গুলো একটা মসকারার জায়গা হয়ে উঠতেছে দিনদিন।,Negative
100,পাবলিক বিশব্বিদ্যালয় গুলো অযোগ্যদের দখলে এখন!,Negative
101,বুজতে কারা সব চালায়। মূর্খ বল্লে মূর্খেরও অপমান।,Negative
102,অবশ্যই লিখা উচিৎ ছিল .তাহলেই বুঝা যেত রেজিস্ট্রার কত ক্ষমতাশালী ।,Negative
103,ভাইরে ভাই। কিএক্তা অবস্থা।,Negative
104,ঘুষ নিয়ে চাকুরী দিলে এর চেয়ে আর কি আশা করা যায়,Negative
105,"ইনাদের অযোগ্যতার দায় যারা এঁদের নিয়োগ দিয়েছেন, তাঁদের।",Negative
106,কোন জমিদারের বাচ্চা এরা?,Negative
107,রেজিস্ট্রার হচ্ছে বড় গাধা অর উপাচার্য হচ্ছে হাড়ে হারামজাদা।,Negative
108,"ছাগল দিয়ে যেখানে হয় হালচাষ, রামছাগল সেখানে হয় রেজিস্ট্রার।",Negative
109,"এসব বিশ্ববিদ্যালয় এমন জায়গা, যেখানে পিয়ন থেকে খুব অল্পসময়ে অফিসার হওয়া যায়, অন্য কোন সরকারি , স্বশাসিত অফিসে যা অকল্পনীয়।",Negative
110,এই বোকাচোদা গুলা আমাদের দেশের পাব্লিক বিশ্ববিদ্যালয়ের শিক্ষক,Negative
111,পরিষ্কার জল ঘোলা করে পান করাই গাধার বীরত্ব!,Negative
112,"ছাগল কোটায় ""রামছাগল"" যখন চেয়ার পায়, তখন এই অবস্থা খুবই স্বাভাবিক...",Negative
113,বুঝছি আবার রেজিস্ট্রেশন করতে কইছে।,Negative
114,এরা সমাজের জীবানু।,Negative
115,অনেক গুলো কু মিইল্লা একটা বিদ্যালয় বানাইয়া সামনে বিশ্ব লাগাইয়া দিছে ।,Negative
116,কোপা শামসু,Negative
117,তারে পেদানি দিলেই হয়,Negative
118,বিশ্ববিদ্যালয়ে এই রকম লোক নিয়োগ দিলে শিক্ষা ব্যবস্থা ধ্বংস হতে সময় লাগবে না।,Negative
119,আমলারা দেশটাকে তাদের বাবর সম্পত্তি মনে করে,Negative
120,কানার হাতে কুড়াল দিলে এমন অবস্থা -ই হবে,Negative
121,মনে হয় পছন্দের প্রার্থী খুঁজে পায়নি এখনো।,Negative
122,বিশ্ববিদ্যালয় চাকরি করলে ভিসিরকে আর রেজিস্ট্রারের তেলের উপরে রাখতে হয়,Negative
123,দেখ কুমিল্লা তে বাল পাকনা রেজিস্ট্রার কি খেলা টা না দেখাইলো...,Negative
124,আমার একাউন্ট ও তো আছে কিন্তু চালিয়ে মজা পায় না,Negative
125,ছি ছি এতো নোংরা কথা,Negative
126,সবগুলা কমেন্টস পরলাম খুব ভালো লাগলো। আমার মনে হয় একটা সময় আমাদের পরিবর্তন আসবে।,Negative
127,প্রতিবাদ করা দরকার।তারচেয়ে বেশি দরকার পারিবারিক ও সামাজিক পরিবর্তন।,Negative
128,এখান থেকে আমাদের বোঝা উচিৎ যে যৌনশিক্ষা কতটা প্রয়োজন।,Negative
129,"বেহায়াপনা করে সন্তানকে শিক্ষা দিবেন, মানুষ বানানোর চেষ্টা করেন, অন্যায় কে লালন করবেন।তো ঐ সন্তান ধর্ষক হবেনা তে কি আব্দুল কদের জীলানি সাহেব তৈরি হবে..... এখন আবার বিচারেরও দাবি করেন.......",Negative
130,হ্যাকাররা পারলে আমার বাল ছিড়া নিক।,Negative
131,আমি হ্যাক করছি ভাই,Negative
132,"ভাই আমি গরীব মানুষ, আমাকে কিছু করিস না",Negative
133,অসংখ্য ধন্যবাদ,Negative
134,অ্যাপ এর নাম টা গোপন রাখলে ভালো হতো।,Negative
135,কি ট্যালেন্ট রে বাবা!?,Negative
136,টিমের প্রত্যেক সদস্যকে ধন্যবাদ।এই অপরাধীর এমন শাস্তি কামনা করছি যে অন্যান্য অপরাধী সাবধান হয়ে যায়।,Negative
137,ধন্যবাদ,Negative
138,অপরাধীর মুখ দেখালে কি কোন সমস্যা আছে,Negative
139,ভদ্রলোকের চেহারা ঘোলাটে করছেন কেন,Negative
140,কঠিন শাস্তির দাবী জানায়,Negative
141,এই গুলারে পুলিশে দিয়ে লাভ নাই। জনগণের হাতে ছেড়ে দিন। মারতে মারতে প্রস্রাবের রাস্তা দিয়া গু বের করে ফেললে ঠিক হবে এই গুলা।,Negative
142,এর সেমাই একটু বাড়িয়ে দিয়েন বেচারাদের যাও এবার জেল থেকে লাইভে আসো সোনাবাবুরা!,Negative
143,"পুটি ধরে লাভ নাই,,,,, বোয়াল ধরুন",Negative
144,এই কুলাঙ্গার বখাটেদের আণ্ডা থেরাপি দেওয়া দরকার।,Negative
145,ক্রসফায়ার দিয়ে দেন..,Negative
146,"শালাগো পুইতা ফালানো উচিৎ,আর ওদের যে উকিল জামিন ধরবে ওদের বিরুদ্ধেও ব্যবস্থা নেওয়া উচিৎ!!",Negative
147,"উহাদের পশ্চাৎ দেশে ঘনীভূত সালফিউরিক এসিড ফোটায় ফোটায় ঢেলে দেয়ার ভিডিও লিং টা যদি জেল কতৃপক্ষ ফ্ল্যাশ কইরা দিত, আহা রমজান মাসে শান্তি পাইতাম।",Negative
148,হাতুরি দিয়া বিচি ছেইচ্চা দেন তারপর দেখবেন বউরে ও আপন বইনের নজরে দেখবো।,Negative
149,পুলিশ প্রশাসন কে অনেক অনেক ধন্যবাদ,Negative
150,সাহস সাফল্যের চাবি কাঠি,Negative
151,জুতা দিয়ে পিডান দেন,Negative
152,তাদের বাবা মা কে জেলে আনা হউক তাহলে বুঝবে ছেলে জন্ম দিয়ে পাঠা হিসাবে ছেরে খাওয়ালে কি হয়,Negative
153,এ রকম চলবে সবসময় #হোকপ্রতিরোধ,Negative
154,ওদের নিয়ে অস্ত্র উদ্ধারে যাওয়া হোক,Negative
155,"দোষী প্রমাণ হলে এদের কঠিন শাস্তির ব্যবস্থা করা হোক,,,,",Negative
156,এখানে তো ৬টা বখাটের ছবি দেখা যাচ্ছে,Negative
157,"এদের নুনুর মাথায় আঠা লাগায় দেন,,,জেনো ওদের নুনুর ভেতরের সুপার গ্লু জেনো আর বের না হতেপারে,,,",Negative
158,শক্ত শাস্তি হতে হবে,Negative
159,ফাসি চাই,Negative
160,"হোক প্রতিবাদ, হোক প্রতিরোধ।",Negative
161,থার্ড ডিগ্রী শাস্তি দেওয়া হউক যা দেখে অন্য বখাটেরা শিক্ষা নিতে পারে।,Negative
162,এরা হচ্ছে জারজ সন্তান।,Negative
163,ভাই ধরছে শালাগো ।,Negative
164,আলহামদুলিল্লাহ্‌।,Negative
165,সাব্বাস! এভাবেই হোক প্রতিরোধ!,Negative
166,রিমান্ডে না নিয়ে সুধু কারাগারে দিলে তো হবেনা।,Negative
167,এই কাংকির পুলাগো জতার মালা গলায় দেয়াহক,Negative
168,প্রত্যেক নারীকেই এরকম প্রতিবাদী হতে হবে।।,Negative
169,দৃষ্টান্তমূলক শাস্তি চাই,Negative
170,"পিটায়া পিনিক নামায়ে দেয়া উচিৎ, জানোয়ারদের।",Negative
171,"সাবাশ, আপু। খুব ভালো কাজ করেছেন। এখন এদের নামে কেস না করে, সোজা ক্রসফায়ারে দেয়া উচিত। তাহলে সারা দেশে এদের যত ভাই- বেরাদর আছে, সারাদিন মেয়েদের উত্ত্যক্ত করে, একদম ঠিক হয়ে যাবে।",Negative
172,ঈদের জন্য ভাল জায়গা,Negative
173,এদের পিঠের চামড়া তুলে আমার একটা জুতো তৈরি করব,Negative
174,এই বখাটেদের করা ভিডিও আমি দেখেছি ওদের মানসিকতা অনেক নিন্মমানের ।,Negative
175,"এই ছেলেদের একজনের এক চাচা উকিল,এক চাচা পুলিশে আছে.... আইন যখন নিজের পরিবারে তখন এরাই তো অনিয়ম করবে...",Negative
176,এদেরকে ভালো ডলা দেওয়া হউক,Negative
177,এটা কি আদো ধর্ষন??তাহলে নরমাল শারিরীক সম্পর্ক কোনটা?,Negative
178,দেশে বিচার না থাকার কারণে এসব অহরহর ঘটছে,Negative
179,আইচ্ছা ধর্ষন টা কি ভাবে করছে,Negative
180,আকাম করে মজা করওরা আর মারা গেলে জনগনের ভোগান্তি,Negative
181,ওরে এসব নাটক এখন মানুষ বোঝে মনে যা চায় তাই বলে যাচ্ছো আলেমদের বিরুদ্ধে তোদের বিচারও হবে এই বাংলার মাটিতে,Negative
182,শয়তান ও এ কথা বিশ্বাস করবে না!,Negative
183,"এসব মিথ্যা নাঠক জনগন জেনেগেছে অনেক আগেই,প্রসাশন কি চায় এটা সবাই জানে।",Negative
184,"ঢাকা মাফিয়া তাহাজ্জুদওয়ালী দেশের মাফিয়া মিডিয়াগুলো কোথায় যারা স্বামী-স্ত্রীর বৈধ অডিও ক্লিপ টেলিভিশনে প্রচার করে বৈধকে অবৈধ করতে চেয়েছিল,এখন অবৈধ সম্পর্কের হত্যারকান্ডের পরও অবৈধ অডিও ক্লিপগুলো মাফিয়া মিডিয়াতে প্রচার হয়না",Negative
185,"তাহাজ্জুদওয়ালী মাফিয়ার দেশেরেহত্যাকে আত্নহত্যা বলে চালিয়ে দিলে ,স্ত্রী দিয়ে ধর্ষন মামলা করালে,পুলিশ নিরস্র মানুষের উপর নির্বিচার গুলি করে উল্টো ভিকটিমের নামে মামলা হলে , বয়োবৃদ্ধ ওলামাদেরকে রোজার মত মাসে গ্রেফতার করে রিমান্ডে নির্যাতন করলে, করোনার মতো মহামারী পৃথিবীতে না এসে কোথায় যাবে? হাদিসের ভাষা রোজা রেখে যে মিথ্যা কথা পরিত্যাগ করতে তার রোজা রেখে উপবাস থাকা আল্লাহর কোন প্রয়োজন নেই",Negative
186,"সমঝোতার প্রস্তাব দিয়েছিল হেফাজত মহাসচিব গনগ্রেফতার বন্ধ করতে,জেলের কুঠিরের ভয়ে, অথচ এই আলেমেরা ওয়াজে যুগে যুগে নবী,সাহাবী,তাবেতাঈনদের জেলজুলুম নির্যাতন কাহিনী বলে মানুষের চোখের পানি ঝরিয়েছে, সরকারের ফাঁদে সমঝোতার অংশ হিসেবে হেফাজতের বর্তমান কমিটি বিলুপ্ত হওয়া মানে আরেকটা তাহাজ্জুদওয়ালী এপ্রিলফুল",Negative
187,"কোন বৈঠক ছাড়া শুধু নগরীর ভিডিও বার্তায় হেফাজত কমিটি বিলুপ্ত ডালমে কূচ কালা হে, সংবাদ সম্মেলন ছাড়া জাতিকে ক্লিয়ার করা ছাড়া ,এটা বিশ্বাস করে ও রিমান্ডের তথ‌্য বিশ্বাস রোজা নষ্ট করবেন না,মনে রাখবেন রোজা আখিরাতের একমাত্র পাথেয়, রোজা মাসে এই গাঁজাখুরি তারা করবে ""সুরা বাকারা আয়াত ৮""",Negative
188,"পৃথিবীর ২য় মুসলিম সংখ্যাগরিষ্ঠ দেশে মাহে রমজানে দাদাবাবু ও ওয়েস্টার্নকে খুশি করার জন্যে যেভাবে বয়োবৃদ্ধ ওলামাদের গ্রেফতার ও রিমান্ডে নির্যাতন করতেছে দাদাবাবুরা বেনামী বিশ্ববিদ্যালয় থেকে একটা ডিক্রী দিতে পারবে কিন্তু নোবেল কমিটির নজরাকষর্ন করতে পারলে ""জঙ্গি দমনের নামে ওলামাদের নির্যাতন "" তাহলে হয়তো ২১ বা ৪১ সালের শান্তিতে নোবেলের জন্য ভূষিত হতে পারে তাহাজ্জুদওয়ালী, ইফতারের পূর্বমুহূর্তে সবাইকে অনুরোধ",Negative
189,২৩শে জুন সিরাজদ্দৌলার পতনের মাধ্যমে বাংলার স্বাধীনতার সূর্য অস্তমিত হয়ে পুরো ভারতবর্ষ ২০০ বছর গোলামির জিঞ্জিরে আবদ্ধ ছিল আর ১/১১ মাধ্যমে বাংলাদেশের গনতন্ত্র অস্তমিত করে তা হয়ত খালেদা জিয়ার ভবিষ্যতবাণী সিকিমে রূপান্তরিত সম্ভবনা,Negative
190,নিজেরা ঠিক হন।এসব দরকার নাই।,Negative
191,সমাবেশ শেষে এরাই আবার আগুন নিয়ে হোটেলে যাবে,Negative
192,আমরা ধর্ষণ আর ব্যভিচারের পার্থক্য বুঝলাম নাহ।,Negative
193,আগে নিজেরা ছেলেমেয়েদের ব্যাপারে সচেতন হোন তারপরে মাঠে নামেন।,Negative
194,দন্ত বিহীন হা হা রিয়াক্ট দিয়েছে। আমার অনুর্বর মস্তিষ্ক ইহার কোনই যৌক্তিক অর্থ খুঁজিয়া পাইলোনা,Negative
195,"আলগা পিড়িত,",Negative
196,"বলদা, মোমবাতি জ্বালাইলে নি কুকাম বন্ধ কইরা দিব!আইন ও প্রয়োগ ছাড়া!!",Negative
197,রক্তক্ষরণ না হলে তো জাতি জানতোই না।প্রত্যেকটা অবাধ মেলামেশায় রক্তক্ষরণ হোক প্রত্যাশা করছি,Negative
198,অসভ্য মহিলা! আমি বুঝি না মানুষ কেন এদের হাইলাইট করে!,Negative
199,নষ্ট মেয়ে,Negative
200,লেন্ডি,Negative
201,১২বাতারির রিপ্লেই কেউ কান দিবেন না শুধু ১২বাতারিকে কমেন্ট করে চলে যান,Negative
202,১২ ভাতারি,Negative
203,বেশরম নিলজ্জ,Negative
204,কেন আপু উজ্জা বাঁশ খাইতে আসো,Negative
205,"কোয়েল মল্লিক ।। হ্যা ইনিও একজন নায়িকা, কিন্তু এনাকে নিয়ে আমাদের অকারন সমোলচনা করতে হয়না ।২০০৩ সালে টলিউডে পা রেখে আজ ২০২১ এসেও তার চরিত্র নিয়ে প্রশ্ন তুলতে হয়না। সুপার স্টার নায়িকা কখনো কোনো কন্ট্রোভার্সি তে জরান নি এমন কী আজ অব্দী কোনো ঘনিষ্ঠ দৃশ্যে বা চুম্বন দৃশ্যে অভিনয় না করেও হয়ে উঠেছেন টলি কুইন। ২০১৩ সালে বিয়ে করে ২০২০ তে মা হয়েছেন তিনি । এর জন্য তাকে প্রশ্নের মুখোমুখি হতে হয়নি। বিয়ের পরও তিনি দেব বা জিত এর সাথে সমান তালে অভিনয় করে গেছেন কিন্তু তার জন্য তাকে তাদের সাথে পরকীয়া করতে হয়নি । ২০১৩ তে বিয়ে করে এখনো অব্ধি স্বামী ছেলে কে নিয়ে সুখে আছেন তিনি। কাওকে প্রকাশ্যে ব্যাক্তিগত আক্রমন ও করেননি রাজনীতি তে না নেমেও মানুষ এর সেবা করেছেন।ভালো থাকুন কোয়েল। এভাবেই থাকুন ।অনেক ভালোবাসা আপনার জন্য।",Negative
